feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
0,-1,-1,17,0,-1,-1,32,3
0,-1,-1,0,0,-1,-1,0,3
1,5893.611,667.1940283024653,10,1,5893.611,667.1940283024653,18,3
1,3422.392,491.1116578102112,1,1,3422.392,491.1116578102112,1,3
1,3515.3147,311.15015122658855,3,1,3515.3147,311.15015122658855,6,3
0,-1,-1,0,0,-1,-1,0,3
1,1998.1558,237.34517164421078,0,1,1998.1558,237.34517164421078,1,3
1,10180.364,1034.1975824886051,8,1,10180.364,1034.1975824886051,16,3
1,9001.718,995.9489156035014,9,1,9001.718,995.9489156035014,13,3
0,-1,-1,17,0,-1,-1,30,3
1,6349.094,774.75664182554,3,1,6349.094,774.75664182554,5,3
1,7157.6904,1667.9983599480217,14,1,7157.6904,1667.9983599480217,26,3
0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,3
1,9729.617,910.4016351789747,11,1,9729.617,910.4016351789747,21,3
0,-1,-1,15,0,-1,-1,27,3
0,-1,-1,0,0,-1,-1,0,3
1,4419.7393,495.7451889533995,7,1,4419.7393,495.7451889533995,12,3
1,4950.409,639.1250398186276,7,1,4950.409,639.1250398186276,10,3
1,7617.2373,1045.8472293897355,12,1,7617.2373,1045.8472293897355,23,3
1,13601.076,1587.2544034933364,11,1,13601.076,1587.2544034933364,23,3
0,-1,-1,13,0,-1,-1,27,3
0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,15,0,-1,-1,28,3
1,7412.893,1692.59170253563,10,1,7412.893,1692.59170253563,20,3
1,9398.194,1334.4197456293118,9,1,9398.379,1327.1638568048486,17,3
1,10383.207,1205.9526376187468,11,1,10383.207,1205.9526376187468,21,3
1,7955.224,1060.1230575550621,13,1,7955.224,1060.1230575550621,29,3
1,7217.9644,1176.517420589447,10,1,7217.9644,1176.517420589447,16,3
1,14952.382,1578.6282071102696,16,1,14952.382,1578.6282071102696,31,3
1,7150.955,684.8977248291286,10,1,7150.955,684.8977248291286,18,3
1,10605.855,1748.1593464344573,11,1,10605.881,1732.093813311441,20,3
1,2049.1125,657.2593329505922,1,1,2049.1125,657.2593329505922,3,3
1,6128.8403,769.5593397970198,5,1,6128.8403,769.5593397970198,9,3
1,4763.0713,365.2076061188835,7,1,4763.0713,365.2076061188835,10,3
1,6868.232,813.1334398320066,10,1,6868.232,813.1334398320066,17,3
1,14474.664,1282.9123478221895,12,1,14474.664,1282.9123478221895,23,3
1,13042.431,1194.6672932632987,13,1,13042.431,1194.6672932632987,25,3
0,-1,-1,0,0,-1,-1,0,3
1,6628.9272,853.6253970971788,11,1,6628.9272,853.6253970971788,22,3
1,3704.6836,576.5150422229767,4,1,3704.6836,576.5150422229767,8,3
1,3979.2295,483.9744853371211,3,1,3979.2295,483.9744853371211,5,3
0,-1,-1,0,0,-1,-1,0,3
1,9167.151,968.798852533068,13,1,9167.151,968.798852533068,21,3
1,5045.278,406.06537291336053,7,1,5045.278,406.06537291336053,10,3
0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,14,0,-1,-1,27,3
1,4518.1836,629.4577631844114,6,1,4518.1836,629.4577631844114,12,3
1,8273.877,766.1042511822834,4,1,8273.877,766.1042511822834,8,3
