feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,14969.708,868.3389070584437,34,1,14969.708,868.3389070584437,56,3
1,11440.15,1320.1332592555455,21,1,11440.15,1320.1332592555455,39,3
1,46403.62,3348.9658111161502,64,1,46403.62,3348.9658111161502,102,3
1,23629.541,2312.784394282477,44,1,23629.541,2312.784394282477,67,3
0,-1,-1,0,0,-1,-1,0,3
1,81011.84,5179.9382284578605,64,1,81012.51,4934.269188205175,111,3
1,49615.766,3103.1736089948927,69,1,49615.766,3103.1736089948927,112,3
1,27213.32,1816.6047758729794,7,1,27213.32,1816.6047758729794,14,3
1,7521.387,822.6544413593837,2,1,7521.387,822.6544413593837,3,3
0,-1,-1,85,0,-1,-1,134,3
0,-1,-1,0,0,-1,-1,0,3
1,11905.409,1129.6594003620148,30,1,11906.96,1051.1406908359527,50,3
0,-1,-1,0,0,-1,-1,0,3
1,29761.938,3226.505155443739,55,1,29769.055,3133.525948580337,88,3
1,23852.34,2009.0464892926905,49,1,23852.34,2009.0464892926905,81,3
1,22418.633,1855.6834046268457,2,1,22418.633,1855.6834046268457,5,3
1,87513.96,7159.781257091656,25,1,87513.96,7159.781257091656,46,3
1,40633.11,4042.0089944610604,54,1,40633.11,4042.0089944610604,83,3
1,11233.375,1192.0752706037931,19,1,11233.375,1192.0752706037931,34,3
1,70769.8,5665.354368383403,67,1,70815.53,5661.926704262048,112,3
