map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
hg,0,-1,-1,69380,0,-1,-1,42059,3,1
hg,0,-1,-1,80875863,0,-1,-1,131615189,3,1
hg,1,19035.576,1490.258437361036,23439956,1,19035.576,1490.258437361036,42552924,3,1
hg,1,46830.523,4031.379613149644,68843059,1,46830.523,4031.379613149644,107844126,3,1
hg,1,20456.484,1250.940909297671,40768507,1,20456.484,1250.940909297671,64368764,3,1
hg,1,81530.65,5054.428498434892,81737915,1,81530.65,5054.428498434892,136567710,3,1
hg,1,104686.1,6254.154808990486,43607491,1,104775.836,6157.279237665456,78200238,3,0
hg,0,-1,-1,73139673,0,-1,-1,126448212,3,1
hg,1,8472.465,895.0318648662571,4679294,1,8472.465,895.0318648662571,9847688,3,1
hg,1,26554.646,2342.3989934909027,36425097,1,26554.646,2342.3989934909027,54727535,3,1
hg,1,23560.678,2078.3820816304324,31151551,1,23560.678,2078.3820816304324,50198624,3,1
hg,1,23088.639,1686.9537286490709,46427335,1,23088.639,1686.9537286490709,72267700,3,1
hg,0,-1,-1,69330711,0,-1,-1,128906944,3,1
hg,1,76826.87,6752.211658431323,41458092,1,76826.87,6752.211658431323,68356963,3,1
hg,1,8763.935,1095.9053664007188,4369182,1,8763.935,1095.9053664007188,9810491,3,1
hg,1,20080.451,2177.33701629298,23000476,1,20080.451,2177.33701629298,41394608,3,1
hg,1,33468.707,2450.246732200624,57089871,1,33468.707,2450.246732200624,96776353,3,1
hg,0,-1,-1,24773,0,-1,-1,135910,3,1
hg,0,-1,-1,52075,0,-1,-1,26624,3,1
hg,1,56252.688,3995.0835800005357,33853823,1,56252.688,3995.0835800005357,56884244,3,1
