map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,1,2310.9106,368.35036134338384,559619,1,2310.9106,368.35036134338384,848759,0,1
insa,1,1571.6592,370.71372129821776,64178,1,1571.6592,370.71372129821776,48349,0,1
insa,1,1158.1942,180.7512125015259,232465,1,1158.1942,180.7512125015259,86208,0,1
insa,1,2214.3867,464.33728261756903,591213,1,2214.3867,464.33728261756903,681939,0,1
insa,1,855.1633,139.79489165496827,224208,1,855.1633,139.79489165496827,125216,0,1
insa,1,1655.7203,297.33924577331544,415196,1,1655.7203,297.33924577331544,218588,0,1
insa,1,2332.3867,478.1060060005188,584954,1,2332.3867,478.1060060005188,795698,0,1
insa,1,1208.3113,382.2683549880981,400212,1,1208.3113,382.2683549880981,213330,0,1
insa,1,2048.731,170.5844349517822,119524,1,2048.731,170.5844349517822,63368,0,1
insa,0,-1,-1,405923,0,-1,-1,813971,0,1
insa,1,1624.5007,656.100271911621,310763,1,1624.5007,656.100271911621,203412,0,1
insa,1,2301.818,429.5526465568543,559391,1,2301.818,429.5526465568543,608775,0,1
insa,0,-1,-1,479093,0,-1,-1,843880,0,1
insa,1,822.59735,243.26328746795656,156236,1,822.59735,243.26328746795656,39619,0,1
insa,1,1854.2678,371.91156802654274,186837,1,1854.2678,371.91156802654274,153788,0,1
insa,0,-1,-1,411609,0,-1,-1,918055,0,1
insa,1,752.3182,451.9958680343628,143888,1,752.3182,451.9958680343628,107907,0,1
insa,1,1324.6459,303.8387637290955,297610,1,1324.6459,303.8387637290955,176500,0,1
insa,1,662.54517,121.79941480636599,97203,1,662.54517,121.79941480636599,57311,0,1
insa,1,1522.6687,188.810764248848,142481,1,1522.6687,188.810764248848,82764,0,1
insa,1,467.1704,166.31582416534422,63054,1,467.1704,166.31582416534422,58791,0,1
insa,1,891.0204,165.07354816246038,160891,1,891.0204,165.07354816246038,111776,0,1
insa,1,2330.8782,586.6637039623258,538020,1,2330.8782,586.6637039623258,341679,0,1
insa,1,566.035,79.77357159805297,119083,1,566.035,79.77357159805297,61521,0,1
insa,0,-1,-1,400213,0,-1,-1,803326,0,1
insa,1,1275.8793,171.0719984893799,208683,1,1275.8793,171.0719984893799,200101,0,1
insa,1,1334.9547,342.8689135437011,225982,1,1334.9547,342.8689135437011,160878,0,1
insa,1,1546.3435,323.0984295444489,434587,1,1546.3435,323.0984295444489,208612,0,1
insa,1,644.16797,92.40934513092041,119994,1,644.16797,92.40934513092041,88062,0,1
insa,0,-1,-1,492407,0,-1,-1,818602,0,1
insa,0,-1,-1,404937,0,-1,-1,827124,0,1
insa,0,-1,-1,1740,0,-1,-1,3896,0,1
insa,1,1225.5865,258.3368813560009,165011,1,1225.5865,258.3368813560009,154910,0,1
insa,1,1745.5887,310.079289756775,226533,1,1745.5887,310.079289756775,125295,0,1
insa,1,2177.6843,492.7300976657868,495161,1,2177.6843,492.7300976657868,825488,3,1
insa,0,-1,-1,343111,0,-1,-1,1053460,3,1
insa,0,-1,-1,2834,0,-1,-1,3888,3,1
insa,1,3154.5134,524.4440114142894,219090,1,3154.5134,524.4440114142894,687090,3,1
insa,1,2002.282,191.28662495040896,278508,1,2002.282,191.28662495040896,952763,3,1
insa,1,426.14322,51.13718662261962,49279,1,426.14322,51.13718662261962,41469,3,1
insa,0,-1,-1,351908,0,-1,-1,756275,3,1
insa,1,3136.6804,533.9292699279787,776115,1,3136.6804,533.9292699279787,754899,3,1
insa,0,-1,-1,2300,0,-1,-1,1847,3,1
insa,0,-1,-1,4406,0,-1,-1,7080,3,1
insa,1,2546.8447,931.3043804454803,332424,1,2546.8447,931.3043804454803,696063,3,1
insa,0,-1,-1,363020,0,-1,-1,859398,3,1
insa,0,-1,-1,333979,0,-1,-1,718676,3,1
insa,0,-1,-1,1764,0,-1,-1,2034,3,1
insa,0,-1,-1,372101,0,-1,-1,741428,3,1
insa,1,1480.0938,219.9298151063919,164749,1,1480.0938,219.9298151063919,340705,3,1
insa,0,-1,-1,341642,0,-1,-1,799812,3,1
insa,0,-1,-1,12511,0,-1,-1,17302,3,1
insa,0,-1,-1,558206,0,-1,-1,959348,3,1
insa,1,1666.0525,440.77985375404364,244572,1,1666.0525,440.77985375404364,503776,3,1
toulouse,1,8649.028,1343.6881534816207,5471617,1,8649.028,1343.6881534816207,3923614,0,1
toulouse,1,13220.379,1293.7718624214447,13684155,1,13220.379,1293.7718624214447,12568071,0,1
toulouse,1,10565.158,916.8544205636979,14206894,1,10565.158,916.8544205636979,6926904,0,1
toulouse,1,5894.617,722.1923645828792,3705017,1,5894.617,722.1923645828792,2256997,0,1
toulouse,1,11649.562,1351.1468252677914,10916687,1,11649.562,1351.1468252677914,7761384,0,1
toulouse,1,7268.005,1177.2646351276462,6258120,1,7268.005,1177.2646351276462,2881027,0,1
toulouse,1,552.8704,38.41634132930211,67421,1,552.8704,38.41634132930211,81625,0,1
toulouse,1,8802.826,1496.5200235087539,15007797,1,8802.826,1496.5200235087539,6317675,0,1
toulouse,1,8657.703,1185.2803387507026,7241544,1,8657.703,1185.2803387507026,4281983,0,1
toulouse,1,9520.936,1258.6013703832627,15281205,1,9520.936,1258.6013703832627,5349809,0,1
toulouse,1,3961.372,423.08457950837266,2647803,1,3961.372,423.08457950837266,1645006,0,1
toulouse,1,3083.4216,532.7136117248534,938973,1,3083.4216,532.7136117248534,687402,0,1
toulouse,1,9271.252,2563.0402660568766,9281414,1,9271.252,2563.0402660568766,4219247,0,1
toulouse,0,-1,-1,15983114,0,-1,-1,26489073,0,1
toulouse,1,8076.578,952.2352358407976,11227155,1,8076.578,952.2352358407976,4525944,0,1
toulouse,1,10917.436,1425.3815197416034,14640042,1,10917.436,1425.3815197416034,9870427,0,1
toulouse,1,4142.6797,670.7374766750333,4521792,1,4142.6797,670.7374766750333,924841,0,1
toulouse,1,3242.0908,1106.831910747528,3229180,1,3242.0908,1106.831910747528,1194209,0,1
toulouse,1,3931.3447,423.87185882568355,1058868,1,3931.3447,423.87185882568355,209768,0,1
toulouse,1,3344.9607,411.2060710675377,1716394,1,3344.9607,411.2060710675377,210749,0,1
