map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,1,869.90735,120.03670126032827,8379462,1,869.90735,120.03670126032827,156627,1,869.90735,120.03670126032827,101792,0,1
insa,0,-1,-1,299456,0,-1,-1,7122,0,-1,-1,4780,0,1
insa,0,-1,-1,1087942,0,-1,-1,27316,0,-1,-1,15416,0,1
insa,1,1281.0083,292.47578899383547,12090151,1,1281.0083,292.47578899383547,1120163,1,1281.0083,292.47578899383547,670621,0,1
insa,1,250.52994,30.063594360351562,17242744,1,250.52994,30.063594360351562,52004,1,250.52994,30.063594360351562,18427,0,1
insa,1,2007.3531,373.1453132543565,10634936,1,2007.3531,373.1453132543565,1116300,1,2007.3531,373.1453132543565,716003,0,1
insa,0,-1,-1,11465321,0,-1,-1,552110,0,-1,-1,1272069,0,1
insa,1,722.756,52.03843544483185,6749099,1,722.756,52.03843544483185,225060,1,722.756,52.03843544483185,79971,0,1
insa,0,-1,-1,402727,0,-1,-1,3357,0,-1,-1,3763,0,1
insa,1,1144.1234,363.4963251686096,3302137,1,1144.1234,363.4963251686096,187316,1,1144.1234,363.4963251686096,124767,0,1
insa,1,507.17316,146.45173948287965,2597486,1,507.17316,146.45173948287965,46760,1,507.17316,146.45173948287965,35139,0,1
insa,1,2061.4365,339.68849582862845,3631092,1,2061.4365,339.68849582862845,342914,1,2061.4365,339.68849582862845,292036,0,1
insa,1,947.7337,123.88513843345642,4444038,1,947.7337,123.88513843345642,205693,1,947.7337,123.88513843345642,99113,0,1
insa,0,-1,-1,784837,0,-1,-1,5899,0,-1,-1,23529,0,1
insa,1,1136.3721,323.6345495853424,8235975,1,1136.3721,323.6345495853424,169655,1,1136.3721,323.6345495853424,241125,0,1
insa,1,1063.298,148.11439096927643,3368088,1,1063.298,148.11439096927643,151517,1,1063.298,148.11439096927643,118267,0,1
insa,1,1032.309,181.07129254531853,3240429,1,1032.309,181.07129254531853,75016,1,1032.309,181.07129254531853,58446,0,1
insa,1,63.932,33.65424030303955,2604455,1,63.932,33.65424030303955,22800,1,63.932,33.65424030303955,11544,0,1
insa,1,889.1349,262.1161812400818,3165542,1,889.1349,262.1161812400818,181667,1,889.1349,262.1161812400818,99394,0,1
insa,1,1736.8414,336.75424374461176,3908273,1,1736.8414,336.75424374461176,272824,1,1736.8414,336.75424374461176,221390,0,1
insa,0,-1,-1,2526143,0,-1,-1,411530,0,-1,-1,842319,0,1
insa,1,1328.9974,255.13240678095823,3087003,1,1328.9974,255.13240678095823,81061,1,1328.9974,255.13240678095823,72944,0,1
insa,0,-1,-1,3052711,0,-1,-1,400705,0,-1,-1,968143,0,1
insa,1,1403.2374,189.9459409160614,3509803,1,1403.2374,189.9459409160614,228598,1,1403.2374,189.9459409160614,136313,0,1
insa,1,2393.5134,474.33281383037576,3069843,1,2393.5134,474.33281383037576,381308,1,2393.5134,474.33281383037576,574860,0,1
insa,0,-1,-1,2912258,0,-1,-1,395214,0,-1,-1,850293,0,1
insa,1,2017.3948,246.87055470657342,3733027,1,2017.3948,246.87055470657342,325447,1,2017.3948,246.87055470657342,244839,0,1
insa,1,234.17113,37.13256377220154,1718291,1,234.17113,37.13256377220154,37007,1,234.17113,37.13256377220154,205210,0,1
insa,1,2100.2383,219.05729766941073,3788119,1,2100.2383,219.05729766941073,480397,1,2100.2383,219.05729766941073,538916,0,1
insa,1,1701.3672,466.4950841617584,2283485,1,1701.3672,466.4950841617584,259862,1,1701.3672,466.4950841617584,273912,0,1
insa,1,144.24838,19.389458913803104,3652639,1,144.24838,19.389458913803104,26261,1,144.24838,19.389458913803104,33796,0,1
insa,1,503.4988,277.1838137626648,2647567,1,503.4988,277.1838137626648,83360,1,503.4988,277.1838137626648,51986,0,1
insa,1,2260.4407,439.821980003357,2271977,1,2260.4407,439.821980003357,473527,1,2260.4407,439.821980003357,537612,0,1
insa,0,-1,-1,217353,0,-1,-1,5568,0,-1,-1,9022,0,1
insa,1,1122.4336,143.47945582580564,1531320,1,1122.4336,143.47945582580564,266714,1,1122.4336,143.47945582580564,200766,0,1
insa,1,1122.725,286.3023147583007,2099586,1,1122.725,286.3023147583007,475421,1,1122.725,286.3023147583007,171820,0,1
insa,1,1222.6072,239.4503589820862,2478722,1,1222.6072,239.4503589820862,191334,1,1222.6072,239.4503589820862,64467,0,1
insa,0,-1,-1,3524573,0,-1,-1,592010,0,-1,-1,1040609,0,1
insa,1,1606.283,198.8153809318543,2796276,1,1606.283,198.8153809318543,159636,1,1606.283,198.8153809318543,187742,0,1
insa,1,1381.0354,305.24945324134814,1576599,1,1381.0354,305.24945324134814,256444,1,1381.0354,305.24945324134814,251935,0,1
insa,1,1140.5245,246.09192082214352,2554469,1,1140.5245,246.09192082214352,125307,1,1140.5245,246.09192082214352,95463,0,1
insa,1,399.44125,89.74084070205689,3069891,1,399.44125,89.74084070205689,49314,1,399.44125,89.74084070205689,40081,0,1
insa,0,-1,-1,2782125,0,-1,-1,411425,0,-1,-1,826245,0,1
insa,1,2069.1301,441.5472101726532,2127533,1,2069.1301,441.5472101726532,370184,1,2069.1301,441.5472101726532,383033,0,1
insa,1,1298.1023,301.1481093406677,2394834,1,1298.1023,301.1481093406677,201868,1,1298.1023,301.1481093406677,105751,0,1
insa,1,963.9184,178.0596807632446,1882232,1,963.9184,178.0596807632446,195413,1,963.9184,178.0596807632446,83144,0,1
insa,1,2086.2012,400.00026340484624,2280601,1,2086.2012,400.00026340484624,895404,1,2086.2012,400.00026340484624,229954,0,1
insa,1,2548.4038,455.90946119499216,2099901,1,2548.4038,455.90946119499216,433643,1,2548.4038,455.90946119499216,736600,0,1
insa,1,798.93164,229.47130931854255,1565189,1,798.93164,229.47130931854255,142343,1,798.93164,229.47130931854255,73122,0,1
insa,0,-1,-1,205456,0,-1,-1,8599,0,-1,-1,12842,0,1
insa,0,-1,-1,358090,0,-1,-1,5179,0,-1,-1,7052,0,1
insa,0,-1,-1,157007,0,-1,-1,2408,0,-1,-1,2399,0,1
insa,1,2107.3184,442.02918789196025,1953840,1,2107.3184,442.02918789196025,409764,1,2107.3184,442.02918789196025,241560,0,1
insa,0,-1,-1,136269,0,-1,-1,3953,0,-1,-1,3372,0,1
insa,1,2114.6519,499.949397348404,1931261,1,2114.6519,499.949397348404,510844,1,2114.6519,499.949397348404,407455,0,1
insa,1,1992.1274,197.02615095520025,2021796,1,1992.1274,197.02615095520025,361262,1,1992.1274,197.02615095520025,441560,0,1
insa,1,1322.9066,197.91772034454345,2290472,1,1322.9066,197.91772034454345,387244,1,1322.9066,197.91772034454345,240731,0,1
insa,1,1202.0057,167.72804303169255,3962631,1,1202.0057,167.72804303169255,59964,1,1202.0057,167.72804303169255,62789,0,1
insa,0,-1,-1,2500128,0,-1,-1,421335,0,-1,-1,838361,0,1
insa,0,-1,-1,4097691,0,-1,-1,725410,0,-1,-1,856538,0,1
map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,0,-1,-1,2865968,0,-1,-1,7170,0,-1,-1,11488,3,1
insa,1,1396.392,398.5065323696137,10159004,1,1396.392,398.5065323696137,382290,1,1396.392,398.5065323696137,739945,3,1
insa,1,692.54736,237.54239656448365,6074922,1,692.54736,237.54239656448365,94451,1,692.54736,237.54239656448365,251180,3,1
insa,0,-1,-1,237883,0,-1,-1,1826,0,-1,-1,4036,3,1
insa,1,596.6067,71.59280313491821,4870209,1,596.6067,71.59280313491821,135855,1,596.6067,71.59280313491821,6488935,3,1
insa,0,-1,-1,1053071,0,-1,-1,5269,0,-1,-1,9707,3,1
insa,1,2540.439,395.74228152465827,5682450,1,2540.439,395.74228152465827,309564,1,2540.439,395.74228152465827,955034,3,1
insa,0,-1,-1,6407089,0,-1,-1,354093,0,-1,-1,725164,3,1
insa,0,-1,-1,6169263,0,-1,-1,339860,0,-1,-1,724162,3,1
insa,1,925.8092,100.26088895416261,6278089,1,925.8092,100.26088895416261,216650,1,925.8092,100.26088895416261,350596,3,1
insa,1,277.87866,33.345441055297854,5781471,1,277.87866,33.345441055297854,23756,1,277.87866,33.345441055297854,36229,3,1
insa,0,-1,-1,367938,0,-1,-1,2230,0,-1,-1,2365,3,1
insa,1,556.371,189.36656439971924,4588956,1,556.371,189.36656439971924,86712,1,556.371,189.36656439971924,153687,3,1
insa,1,2375.786,495.4593463096619,5356584,1,2375.786,495.4593463096619,266769,1,2375.786,495.4593463096619,564627,3,1
insa,0,-1,-1,246660,0,-1,-1,2347,0,-1,-1,2189,3,1
insa,0,-1,-1,346632,0,-1,-1,1983,0,-1,-1,2395,3,1
insa,0,-1,-1,406172,0,-1,-1,3386,0,-1,-1,4327,3,1
insa,0,-1,-1,2732619,0,-1,-1,337940,0,-1,-1,755996,3,1
insa,0,-1,-1,2888845,0,-1,-1,342483,0,-1,-1,740119,3,1
insa,1,1488.8638,469.18513057708753,4654541,1,1488.8638,469.18513057708753,102726,1,1488.8638,469.18513057708753,181230,3,1
