map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,1,467.1704,166.31582416534422,2310544,1,467.1704,166.31582416534422,63054,1,467.1704,166.31582416534422,58791,0,1
insa,1,891.0204,165.07354816246038,1733279,1,891.0204,165.07354816246038,160891,1,891.0204,165.07354816246038,111776,0,1
insa,1,2330.8782,586.6637039623258,2820148,1,2330.8782,586.6637039623258,538020,1,2330.8782,586.6637039623258,341679,0,1
insa,1,566.035,79.77357159805297,2621434,1,566.035,79.77357159805297,119083,1,566.035,79.77357159805297,61521,0,1
insa,0,-1,-1,1828042,0,-1,-1,400213,0,-1,-1,803326,0,1
insa,1,1275.8793,171.0719984893799,2972669,1,1275.8793,171.0719984893799,208683,1,1275.8793,171.0719984893799,200101,0,1
insa,1,1334.9547,342.8689135437011,2837071,1,1334.9547,342.8689135437011,225982,1,1334.9547,342.8689135437011,160878,0,1
insa,1,1546.3435,323.0984295444489,3620127,1,1546.3435,323.0984295444489,434587,1,1546.3435,323.0984295444489,208612,0,1
insa,1,644.16797,92.40934513092041,3141372,1,644.16797,92.40934513092041,119994,1,644.16797,92.40934513092041,88062,0,1
insa,0,-1,-1,1404760,0,-1,-1,492407,0,-1,-1,818602,0,1
insa,0,-1,-1,1672909,0,-1,-1,404937,0,-1,-1,827124,0,1
insa,0,-1,-1,99329,0,-1,-1,1740,0,-1,-1,3896,0,1
insa,1,1225.5865,258.3368813560009,3482914,1,1225.5865,258.3368813560009,165011,1,1225.5865,258.3368813560009,154910,0,1
insa,1,1745.5887,310.079289756775,3458448,1,1745.5887,310.079289756775,226533,1,1745.5887,310.079289756775,125295,0,1
map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,1,2177.6843,492.7300976657868,11176093,1,2177.6843,492.7300976657868,495161,1,2177.6843,492.7300976657868,825488,3,1
insa,0,-1,-1,9533566,0,-1,-1,343111,0,-1,-1,1053460,3,1
insa,0,-1,-1,267875,0,-1,-1,2834,0,-1,-1,3888,3,1
insa,1,3154.5134,524.4440114142894,9894641,1,3154.5134,524.4440114142894,219090,1,3154.5134,524.4440114142894,687090,3,1
insa,1,2002.282,191.28662495040896,4943607,1,2002.282,191.28662495040896,278508,1,2002.282,191.28662495040896,952763,3,1
insa,1,426.14322,51.13718662261962,7609400,1,426.14322,51.13718662261962,49279,1,426.14322,51.13718662261962,41469,3,1
insa,0,-1,-1,4729603,0,-1,-1,351908,0,-1,-1,756275,3,1
insa,1,3136.6804,533.9292699279787,5610507,1,3136.6804,533.9292699279787,776115,1,3136.6804,533.9292699279787,754899,3,1
insa,0,-1,-1,263363,0,-1,-1,2300,0,-1,-1,1847,3,1
insa,0,-1,-1,553347,0,-1,-1,4406,0,-1,-1,7080,3,1
insa,1,2546.8447,931.3043804454803,7278889,1,2546.8447,931.3043804454803,332424,1,2546.8447,931.3043804454803,696063,3,1
insa,0,-1,-1,2728289,0,-1,-1,363020,0,-1,-1,859398,3,1
insa,0,-1,-1,3776660,0,-1,-1,333979,0,-1,-1,718676,3,1
insa,0,-1,-1,226287,0,-1,-1,1764,0,-1,-1,2034,3,1
insa,0,-1,-1,2115723,0,-1,-1,372101,0,-1,-1,741428,3,1
insa,1,1480.0938,219.9298151063919,3435911,1,1480.0938,219.9298151063919,164749,1,1480.0938,219.9298151063919,340705,3,1
insa,0,-1,-1,3410120,0,-1,-1,341642,0,-1,-1,799812,3,1
insa,0,-1,-1,1323014,0,-1,-1,12511,0,-1,-1,17302,3,1
insa,0,-1,-1,2555724,0,-1,-1,558206,0,-1,-1,959348,3,1
insa,1,1666.0525,440.77985375404364,4334359,1,1666.0525,440.77985375404364,244572,1,1666.0525,440.77985375404364,503776,3,1
