map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
toulouse,1,6775.629,1000.2460077798025,3604081,1,6775.629,1000.2460077798025,7819708,3,1
toulouse,1,8690.491,1056.8185624457772,6743981,1,8690.491,1056.8185624457772,12109815,3,1
toulouse,1,6600.129,591.3585616942815,4402346,1,6600.129,591.3585616942815,11103975,3,1
toulouse,1,10473.121,1426.3243347959517,7474396,1,10473.121,1426.3243347959517,14493016,3,1
toulouse,1,9284.502,1393.68729024778,10142634,1,9284.502,1393.68729024778,19482406,3,1
toulouse,1,7194.7886,1148.853392186164,15809745,1,7194.7886,1148.853392186164,25857104,3,1
toulouse,1,11410.322,1101.2310112935481,10569325,1,11410.322,1101.2310112935481,19636031,3,1
toulouse,1,10632.004,1333.673337203979,13039531,1,10632.004,1333.673337203979,24040689,3,1
toulouse,1,5068.866,469.54386761760696,7546572,1,5068.866,469.54386761760696,13617901,3,1
toulouse,1,7937.896,941.357967938968,11851489,1,7937.896,941.357967938968,23392521,3,1
toulouse,1,11888.382,1395.3493560273305,11095031,1,11888.382,1395.3493560273305,20401146,3,1
toulouse,0,-1,-1,14512,0,-1,-1,10933,3,1
toulouse,1,5805.9414,860.071923371315,4644267,1,5805.9414,860.071923371315,10626746,3,1
toulouse,1,5386.2363,715.7148085220883,5444689,1,5386.2363,715.7148085220883,12678562,3,1
toulouse,1,12642.852,1245.6133959315175,12665583,1,12642.852,1245.6133959315175,22699273,3,1
toulouse,1,7987.364,901.744125972748,4039948,1,7987.364,901.744125972748,10119163,3,1
toulouse,1,7463.5347,592.1611858777999,9083149,1,7463.5347,592.1611858777999,19919410,3,1
toulouse,1,1452.6472,136.17915886688232,460533,1,1452.6472,136.17915886688232,831673,3,1
toulouse,0,-1,-1,16051098,0,-1,-1,29433983,3,1
toulouse,1,2678.32,380.04388078022015,1031891,1,2678.32,380.04388078022015,2231488,3,1
toulouse,0,-1,-1,12625,0,-1,-1,10303,3,1
toulouse,0,-1,-1,14311,0,-1,-1,14462,3,1
toulouse,0,-1,-1,11454,0,-1,-1,12711,3,1
toulouse,0,-1,-1,13201,0,-1,-1,13238,3,1
toulouse,0,-1,-1,16704769,0,-1,-1,28016460,3,1
toulouse,0,-1,-1,12721454,0,-1,-1,26786892,3,1
toulouse,0,-1,-1,14767033,0,-1,-1,27813976,3,1
toulouse,1,10281.057,969.4260150375374,13893658,1,10281.057,969.4260150375374,26871905,3,1
toulouse,0,-1,-1,17223981,0,-1,-1,28298114,3,1
toulouse,0,-1,-1,11456,0,-1,-1,6979,3,1
toulouse,0,-1,-1,13736118,0,-1,-1,30088611,3,1
toulouse,0,-1,-1,18706,0,-1,-1,46028,3,1
toulouse,1,4653.422,553.8647907134464,3819713,1,4653.422,553.8647907134464,7526675,3,1
toulouse,1,3992.522,779.2610002539498,2848400,1,3992.522,779.2610002539498,5171977,3,1
toulouse,0,-1,-1,57156,0,-1,-1,93620,3,1
toulouse,0,-1,-1,52922,0,-1,-1,69090,3,1
toulouse,1,12705.902,1666.6929408796843,10947738,1,12705.902,1666.6929408796843,20294290,3,1
toulouse,0,-1,-1,15798270,0,-1,-1,29341183,3,1
toulouse,0,-1,-1,12462,0,-1,-1,12915,3,1
toulouse,0,-1,-1,15077514,0,-1,-1,28247014,3,1
toulouse,1,4103.3467,908.3733394284927,2929490,1,4103.3467,908.3733394284927,5974393,3,1
toulouse,1,9840.515,1427.22376477514,13500036,1,9840.515,1427.22376477514,23501365,3,1
toulouse,1,5361.983,969.8552941303255,1198090,1,5361.983,969.8552941303255,2514064,3,1
toulouse,0,-1,-1,15221030,0,-1,-1,27925149,3,1
toulouse,1,7081.825,645.1862735309602,3792979,1,7081.825,645.1862735309602,7857086,3,1
toulouse,0,-1,-1,15835,0,-1,-1,13945,3,1
toulouse,0,-1,-1,16783341,0,-1,-1,29335338,3,1
toulouse,1,2033.5839,224.80015476608276,796929,1,2033.5839,224.80015476608276,1254713,3,1
toulouse,1,4066.2273,369.3491992692948,2090043,1,4066.2273,369.3491992692948,4625313,3,1
toulouse,0,-1,-1,16547153,0,-1,-1,29627656,3,1
