feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,8258.756,749.1899344453813,9,1,8258.756,749.1899344453813,17,3
1,72228.664,5439.514085978234,88,1,72229.15,5434.793913714136,134,3
1,35285.055,2437.5237185260216,15,1,35285.055,2437.5237185260216,31,3
1,13182.106,1591.0740345963063,20,1,13182.106,1591.0740345963063,37,3
1,35863.156,3138.681397628378,64,1,35863.156,3138.681397628378,99,3
0,-1,-1,0,0,-1,-1,0,3
1,95777.17,6220.955884869713,80,1,95777.17,6220.955884869713,137,3
1,53696.047,4551.127531229697,53,1,53696.047,4551.127531229697,82,3
0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,3
1,17742.838,1302.8749639192308,6,1,17742.838,1302.8749639192308,13,3
1,27392.129,2837.268017425265,55,1,27392.129,2837.268017425265,86,3
0,-1,-1,0,0,-1,-1,0,3
1,33895.24,2002.6588606759487,61,1,33895.24,2002.6588606759487,101,3
1,34845.215,3239.260456528393,57,1,34845.215,3239.260456528393,92,3
1,22696.887,1465.778638433183,10,1,22696.887,1465.778638433183,21,3
1,21514.426,1235.8294697450906,5,1,21514.426,1235.8294697450906,10,3
0,-1,-1,86,0,-1,-1,137,3
0,-1,-1,0,0,-1,-1,0,3
