feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,1885.5421,191.96769509983062,13,1,1885.5421,191.96769509983062,0,1,1885.5421,191.96769509983062,0,0
0,-1,-1,11,0,-1,-1,0,0,-1,-1,1,0
1,1952.5193,316.8480406608582,18,1,1952.5193,316.8480406608582,0,1,1952.5193,316.8480406608582,0,0
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,0
1,1944.3068,546.9339364700317,7,1,1944.3068,546.9339364700317,1,1,1944.3068,546.9339364700317,0,0
1,946.164,139.54781538391111,10,1,946.164,139.54781538391111,0,1,946.164,139.54781538391111,0,0
1,1335.554,266.28066901016234,7,1,1335.554,266.28066901016234,0,1,1335.554,266.28066901016234,0,0
1,1780.7931,246.11666827011112,10,1,1780.7931,246.11666827011112,0,1,1780.7931,246.11666827011112,0,0
1,1629.6086,164.48080406570435,4,1,1629.6086,164.48080406570435,0,1,1629.6086,164.48080406570435,0,0
1,639.4519,71.54157512283325,4,1,639.4519,71.54157512283325,0,1,639.4519,71.54157512283325,0,0
1,1908.9205,705.3398158836362,4,1,1908.9205,705.3398158836362,0,1,1908.9205,705.3398158836362,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,207.12764,24.60602898788452,2,1,207.12764,24.60602898788452,0,1,207.12764,24.60602898788452,0,0
0,-1,-1,2,0,-1,-1,0,0,-1,-1,0,0
1,2264.537,469.07691457056995,3,1,2264.537,469.07691457056995,0,1,2264.537,469.07691457056995,0,0
1,695.2076,85.18976335144043,5,1,695.2076,85.18976335144043,0,1,695.2076,85.18976335144043,0,0
0,-1,-1,3,0,-1,-1,0,0,-1,-1,1,0
1,707.3943,228.87975348472594,2,1,707.3943,228.87975348472594,0,1,707.3943,228.87975348472594,0,0
1,1157.1592,105.14351718592641,3,1,1157.1592,105.14351718592641,0,1,1157.1592,105.14351718592641,0,0
0,-1,-1,2,0,-1,-1,0,0,-1,-1,0,0
1,931.7631,141.61382959842683,2,1,931.7631,141.61382959842683,0,1,931.7631,141.61382959842683,0,0
1,834.8118,101.68132982254028,2,1,834.8118,101.68132982254028,0,1,834.8118,101.68132982254028,0,0
1,2366.5835,552.5630625579357,3,1,2366.5835,552.5630625579357,0,1,2366.5835,552.5630625579357,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,609.7033,73.16439210891724,1,1,609.7033,73.16439210891724,0,1,609.7033,73.16439210891724,0,0
1,408.69476,159.41579578399657,2,1,408.69476,159.41579578399657,0,1,408.69476,159.41579578399657,0,0
1,2111.421,347.349149219513,2,1,2111.421,347.349149219513,0,1,2111.421,347.349149219513,0,0
1,1136.6925,163.09607322692875,3,1,1136.6925,163.09607322692875,0,1,1136.6925,163.09607322692875,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
0,-1,-1,2,0,-1,-1,0,0,-1,-1,0,3
1,1774.7677,236.80699413299564,13,1,1774.7677,236.80699413299564,0,1,1774.7677,236.80699413299564,0,3
1,3062.5571,487.78729698944096,4,1,3062.5571,487.78729698944096,0,1,3062.5571,487.78729698944096,1,3
1,3.085562,2.2216046333312987,5,1,3.085562,2.2216046333312987,0,1,3.085562,2.2216046333312987,0,3
1,1148.4423,135.4284855966568,6,1,1148.4423,135.4284855966568,0,1,1148.4423,135.4284855966568,1,3
1,695.39575,129.20131479263307,9,1,695.39575,129.20131479263307,0,1,695.39575,129.20131479263307,0,3
1,1081.174,144.8500774383545,7,1,1081.174,144.8500774383545,0,1,1081.174,144.8500774383545,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,1804.3234,407.7448241043091,6,1,1804.3234,407.7448241043091,0,1,1804.3234,407.7448241043091,0,3
1,945.868,111.89985999298096,5,1,945.868,111.89985999298096,0,1,945.868,111.89985999298096,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,1355.37,218.86904227638243,4,1,1355.37,218.86904227638243,0,1,1355.37,218.86904227638243,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,1133.7324,104.42225743103026,5,1,1133.7324,104.42225743103026,0,1,1133.7324,104.42225743103026,0,3
1,2653.82,567.0761472816467,7,1,2653.82,567.0761472816467,0,1,2653.82,567.0761472816467,0,3
1,1249.4462,145.85393287467966,3,1,1249.4462,145.85393287467966,0,1,1249.4462,145.85393287467966,0,3
1,1497.4813,148.06045239257813,3,1,1497.4813,148.06045239257813,0,1,1497.4813,148.06045239257813,0,3
1,2295.501,717.3418995494842,4,1,2295.501,717.3418995494842,0,1,2295.501,717.3418995494842,1,3
1,2426.7188,870.5368076076508,4,1,2426.7188,870.5368076076508,0,1,2426.7188,870.5368076076508,1,3
