feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,5525.037,500.43918825817104,2,1,5525.037,500.43918825817104,4,3
1,106950.51,6644.007024634504,176,1,106956.266,6776.69343017606,212,3
1,30793.44,2355.920766689026,10,1,30793.44,2355.920766689026,30,3
0,-1,-1,0,0,-1,-1,0,3
1,139893.48,12588.619922833164,376,1,139934.81,12587.723337684762,581,3
1,168363.98,11297.105481115464,174,1,168661.17,11191.058293228816,311,3
1,125217.34,10668.998859054127,326,1,125224.125,10556.353864799063,544,3
1,141679.77,9676.840448689465,171,1,141888.92,9544.243116631511,307,3
1,152017.67,9905.171379434169,309,1,152231.89,9653.076823271196,515,3
