feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar
1,3733.225,720.4107266006473,693,1,3733.225,721.9706186828618,2,1,3733.225,721.9706186828618,1
1,6398.125,948.1542123086112,525,1,6398.125,948.1542123086112,14,1,6398.125,948.1542123086112,4
1,12047.918,1701.6180701191763,610,1,12047.918,1701.6180701191763,16,1,12047.918,1701.6180701191763,7
1,5305.3604,1171.7371163635253,515,1,5305.3604,1171.7371163635253,3,1,5305.3604,1171.7371163635253,0
1,3429.481,337.97775015640264,498,1,3429.481,337.97775015640264,1,1,3429.481,337.97775015640264,0
1,12825.358,1768.4431269580298,527,1,12825.358,1768.4431269580298,14,1,12825.358,1768.4431269580298,9
1,2680.9324,405.0603615074158,687,1,2680.9324,405.0603615074158,1,1,2680.9324,405.0603615074158,0
1,7483.365,760.7986417130063,643,1,7483.365,760.7986417130063,8,1,7483.365,760.7986417130063,3
1,2655.342,513.1556439428329,439,1,2655.342,513.1556439428329,1,1,2655.342,513.1556439428329,0
1,1778.9109,276.3703485918045,295,1,1778.9109,276.3703485918045,1,1,1778.9109,276.3703485918045,0
1,11453.777,1119.9190566979828,407,1,11453.777,1119.9190566979828,16,1,11453.777,1119.9190566979828,11
1,7300.547,1645.0156562309264,478,1,7300.547,1645.0156562309264,9,1,7300.547,1645.0156562309264,2
1,8535.447,758.8173435802464,431,1,8535.447,758.8173435802464,9,1,8535.447,758.8173435802464,4
1,5393.067,467.12770125716065,417,1,5393.067,467.12770125716065,2,1,5393.067,467.12770125716065,1
1,7251.839,820.6109562549593,365,1,7251.839,820.6109562549593,15,1,7251.839,820.6109562549593,2
0,-1,-1,7,0,-1,-1,0,0,-1,-1,0
1,7838.5864,1186.1539910520821,540,1,7838.5864,1186.1539910520821,6,1,7838.5864,1186.1539910520821,5
1,5548.3735,558.1446807779583,425,1,5548.3735,558.1446807779583,2,1,5548.3735,558.1446807779583,2
1,9859.979,1433.4041779571264,482,1,9859.979,1433.4041779571264,8,1,9859.979,1433.4041779571264,7
1,9594.553,984.061333731652,417,1,9594.553,984.061333731652,11,1,9594.553,984.061333731652,5
0,-1,-1,302,0,-1,-1,18,0,-1,-1,31
1,8445.15,1222.0798380011154,489,1,8445.15,1222.0798380011154,11,1,8445.15,1222.0798380011154,5
1,5759.087,937.7575191516873,332,1,5759.087,937.7575191516873,8,1,5759.087,937.7575191516873,5
1,6398.3037,497.8701940155029,467,1,6398.3037,497.8701940155029,3,1,6398.3037,497.8701940155029,1
1,2138.941,683.7357439842226,399,1,2138.941,683.7357439842226,1,1,2138.941,683.7357439842226,0
1,4350.4023,660.9613852141244,370,1,4350.4023,660.9613852141244,2,1,4350.4023,660.9613852141244,1
1,7372.053,918.9944770979199,567,1,7372.053,918.9944770979199,4,1,7372.053,918.9944770979199,3
1,4668.6167,1025.248991435051,394,1,4668.6167,1025.248991435051,6,1,4668.6167,1025.248991435051,0
1,10157.843,853.1409370964595,479,1,10157.843,854.7008291786739,11,1,10157.843,854.7008291786739,8
1,6019.003,313.99403002429005,426,1,6019.003,313.99403002429005,6,1,6019.003,313.99403002429005,1
