feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,1719.0449,643.682319717407,7,1,1719.0449,643.682319717407,0,1,1719.0449,643.682319717407,0,0
1,1168.777,377.72144001960754,11,1,1168.777,377.72144001960754,0,1,1168.777,377.72144001960754,0,0
1,732.6969,63.509767353057846,6,1,732.6969,63.509767353057846,0,1,732.6969,63.509767353057846,0,0
1,845.2589,199.89115656280515,14,1,845.2589,199.89115656280515,0,1,845.2589,199.89115656280515,0,0
1,1907.1989,282.29025168228145,8,1,1907.1989,282.29025168228145,0,1,1907.1989,282.29025168228145,0,0
1,54.121,18.854520006179808,4,1,54.121,18.854520006179808,0,1,54.121,18.854520006179808,0,0
1,1176.38,179.3458100624084,5,1,1176.38,179.3458100624084,0,1,1176.38,179.3458100624084,0,0
0,-1,-1,8,0,-1,-1,0,0,-1,-1,1,0
1,1997.631,445.1826788635253,4,1,1997.631,445.1826788635253,0,1,1997.631,445.1826788635253,0,0
1,462.867,36.330120574951174,4,1,462.867,36.330120574951174,0,1,462.867,36.330120574951174,0,0
1,2226.5085,568.517096752882,3,1,2226.5085,568.517096752882,0,1,2226.5085,568.517096752882,0,0
1,1412.9454,233.81780908298492,2,1,1412.9454,233.81780908298492,0,1,1412.9454,233.81780908298492,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,1833.6738,513.5038286590576,4,1,1833.6738,513.5038286590576,0,1,1833.6738,513.5038286590576,0,0
0,-1,-1,0,0,-1,-1,2,0,-1,-1,0,0
1,2262.4285,526.0661953446863,2,1,2262.4285,526.0661953446863,0,1,2262.4285,526.0661953446863,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,512.89075,102.7133017158508,3,1,512.89075,102.7133017158508,0,1,512.89075,102.7133017158508,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,175.29292,33.228306713104246,3,1,175.29292,33.228306713104246,0,1,175.29292,33.228306713104246,0,0
1,2031.4408,546.8535520598888,2,1,2031.4408,546.8535520598888,0,1,2031.4408,546.8535520598888,0,0
1,1426.8048,151.80207191562656,2,1,1426.8048,151.80207191562656,0,1,1426.8048,151.80207191562656,0,0
1,2414.0637,230.4893400993348,2,1,2414.0637,230.4893400993348,0,1,2414.0637,230.4893400993348,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,332.3688,39.884258422851566,2,1,332.3688,39.884258422851566,0,1,332.3688,39.884258422851566,0,0
1,2816.1047,468.0449461069107,3,1,2816.1047,468.0449461069107,0,1,2816.1047,468.0449461069107,0,0
1,1247.3992,140.84540172958373,2,1,1247.3992,140.84540172958373,0,1,1247.3992,140.84540172958373,0,0
1,1066.457,127.97484518051147,3,1,1066.457,127.97484518051147,0,1,1066.457,127.97484518051147,0,0
1,2142.0288,444.60669740295407,4,1,2142.0288,444.60669740295407,0,1,2142.0288,444.60669740295407,0,0
feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,1648.915,187.4984243774414,22,1,1648.915,187.4984243774414,0,1,1648.915,187.4984243774414,0,3
1,1390.9388,297.11467996788025,6,1,1390.9388,297.11467996788025,0,1,1390.9388,297.11467996788025,0,3
0,-1,-1,8,0,-1,-1,0,0,-1,-1,1,3
0,-1,-1,12,0,-1,-1,0,0,-1,-1,0,3
1,708.72577,89.5813703956604,6,1,708.72577,89.5813703956604,0,1,708.72577,89.5813703956604,0,3
1,1495.6631,240.63288652038574,5,1,1495.6631,240.63288652038574,0,1,1495.6631,240.63288652038574,0,3
1,503.30865,53.090160369873054,5,1,503.30865,53.090160369873054,0,1,503.30865,53.090160369873054,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,1036.6688,186.08410195541381,7,1,1036.6688,186.08410195541381,0,1,1036.6688,186.08410195541381,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,7,0,-1,-1,0,0,-1,-1,1,3
1,3065.4292,879.7076791820523,2,1,3065.4292,879.7076791820523,0,1,3065.4292,879.7076791820523,0,3
1,770.5609,97.00159008407593,2,1,770.5609,97.00159008407593,0,1,770.5609,97.00159008407593,0,3
1,616.2709,150.80405387878417,1,1,616.2709,150.80405387878417,0,1,616.2709,150.80405387878417,0,3
1,1167.5865,272.3270446643829,1,1,1167.5865,272.3270446643829,0,1,1167.5865,272.3270446643829,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,2635.541,550.7820913295747,3,1,2635.541,550.7820913295747,0,1,2635.541,550.7820913295747,1,3
1,1438.9519,228.34212932968143,4,1,1438.9519,228.34212932968143,0,1,1438.9519,228.34212932968143,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
