feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0
1,2001.0869,324.0055248184205,7,1,2001.0869,324.0055248184205,0,1,2001.0869,324.0055248184205,0
1,1363.9791,130.90109224033355,9,1,1363.9791,130.90109224033355,0,1,1363.9791,130.90109224033355,0
1,1525.2463,198.91552828788753,8,1,1525.2463,198.91552828788753,0,1,1525.2463,198.91552828788753,0
1,1575.7152,612.4070179939272,9,1,1575.7152,612.4070179939272,0,1,1575.7152,612.4070179939272,0
1,3177.9312,631.7254044578074,12,1,3177.9312,631.7254044578074,0,1,3177.9312,631.7254044578074,1
1,1741.4387,299.09147245788586,2,1,1741.4387,299.09147245788586,0,1,1741.4387,299.09147245788586,0
1,1167.3809,104.54723600864408,2,1,1167.3809,104.54723600864408,0,1,1167.3809,104.54723600864408,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0
1,1872.0983,355.26263797831524,2,1,1872.0983,355.26263797831524,0,1,1872.0983,355.26263797831524,0
0,-1,-1,3,0,-1,-1,0,0,-1,-1,1
1,2105.7637,568.1855404708385,3,1,2105.7637,568.1855404708385,0,1,2105.7637,568.1855404708385,0
1,200.63869,24.07664079666138,2,1,200.63869,24.07664079666138,0,1,200.63869,24.07664079666138,0
1,2458.5464,427.96915868067737,6,1,2458.5464,427.96915868067737,0,1,2458.5464,427.96915868067737,0
1,1071.7501,96.97271065521241,9,1,1071.7501,96.97271065521241,0,1,1071.7501,96.97271065521241,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0
1,1619.8529,182.97359458923341,2,1,1619.8529,182.97359458923341,0,1,1619.8529,182.97359458923341,0
1,1195.2792,318.4231743049622,4,1,1195.2792,318.4231743049622,0,1,1195.2792,318.4231743049622,0
1,1156.7089,283.7673627948761,3,1,1156.7089,283.7673627948761,0,1,1156.7089,283.7673627948761,0
1,2487.615,597.4708150005341,3,1,2487.615,597.4708150005341,0,1,2487.615,597.4708150005341,0
0,-1,-1,3,0,-1,-1,0,0,-1,-1,1
1,2132.6846,691.5632794904708,3,1,2132.6846,691.5632794904708,0,1,2132.6846,691.5632794904708,0
1,451.94608,69.34272743225097,2,1,451.94608,69.34272743225097,0,1,451.94608,69.34272743225097,0
1,735.241,91.0503642654419,1,1,735.241,91.0503642654419,0,1,735.241,91.0503642654419,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0
1,1869.7512,397.6249010925292,1,1,1869.7512,397.6249010925292,0,1,1869.7512,397.6249010925292,0
1,836.18506,163.39404616355904,1,1,836.18506,163.39404616355904,0,1,836.18506,163.39404616355904,0
0,-1,-1,2,0,-1,-1,0,0,-1,-1,0
0,-1,-1,3,0,-1,-1,0,0,-1,-1,1
