feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,7366.8335,1764.8814855442045,13,1,7366.8335,1764.8814855442045,3,0
1,9183.124,1287.0207411308288,18,1,9183.124,1287.0207411308288,7,0
1,8639.77,1056.2403445080342,22,1,8639.77,1056.2403445080342,9,0
1,1488.8575,148.11986458969116,0,1,1488.8575,148.11986458969116,0,0
1,6004.67,1027.6741397094727,5,1,6004.67,1027.6741397094727,1,0
1,9468.736,1338.9640149912152,10,1,9468.736,1338.9640149912152,4,0
1,5092.596,550.8516330356595,8,1,5092.596,550.8516330356595,1,0
1,8305.442,967.6169246324813,17,1,8305.442,967.6169246324813,4,0
1,14872.431,1467.1792996420177,18,1,14872.431,1467.1792996420177,14,0
1,5465.722,1053.413675302505,5,1,5465.722,1053.413675302505,2,0
1,4039.5396,710.952127035141,6,1,4039.5396,710.952127035141,1,0
1,5368.6426,1198.1412476765768,8,1,5368.6426,1198.1412476765768,1,0
0,-1,-1,0,0,-1,-1,0,0
1,8902.466,846.1517408764698,17,1,8902.466,846.1517408764698,3,0
1,11558.2,1082.1195535466334,14,1,11558.2,1082.1195535466334,7,0
1,13046.0625,2081.611547234262,15,1,13046.0625,2081.611547234262,10,0
0,-1,-1,0,0,-1,-1,0,0
1,7389.245,657.5047551193239,9,1,7389.245,657.5047551193239,2,0
1,12652.984,1742.3211141083577,17,1,12652.984,1742.3211141083577,8,0
1,2010.4426,332.35130002212526,0,1,2010.4426,332.35130002212526,0,0
1,6147.625,1097.9626280463096,12,1,6147.625,1097.9626280463096,3,0
1,1415.198,285.1671183242798,0,1,1415.198,285.1671183242798,0,0
0,-1,-1,20,0,-1,-1,34,0
1,9405.622,895.2648970024924,10,1,9405.622,895.2648970024924,5,0
1,7094.677,1235.8955143898545,11,1,7094.677,1235.8955143898545,6,0
1,5625.4136,753.4384842040196,12,1,5625.4136,753.4384842040196,2,0
1,1692.0338,241.4696071586609,0,1,1692.0338,241.4696071586609,0,0
1,12114.949,1775.9004043598172,13,1,12114.949,1775.9004043598172,11,0
1,4389.362,298.53053822653624,4,1,4389.362,298.53053822653624,0,0
1,16305.717,1925.4584378573543,18,1,16305.717,1925.4584378573543,11,0
1,9201.168,729.327910597801,14,1,9201.168,729.327910597801,6,0
1,5131.194,687.4576349315641,5,1,5131.194,687.4576349315641,1,0
1,12629.307,1276.209919283048,17,1,12629.307,1276.209919283048,9,0
1,8031.637,1573.1603015290664,17,1,8031.637,1573.1603015290664,4,0
1,12432.879,1529.8860491883406,18,1,12432.879,1529.8860491883406,10,0
1,1535.3435,231.30114197731012,0,1,1535.3435,231.30114197731012,0,0
1,9277.353,976.655508434296,9,1,9277.353,976.655508434296,5,0
1,5465.443,742.3392734936305,4,1,5465.443,742.3392734936305,0,0
1,13870.917,1476.8678921985622,19,1,13870.917,1476.8678921985622,8,0
1,6781.8164,757.5393000297547,4,1,6781.8164,757.5393000297547,3,0
1,4109.658,531.5793619651795,5,1,4109.658,531.5793619651795,1,0
1,2332.6948,723.3750776187352,3,1,2332.6948,723.3750776187352,0,0
1,1110.3702,85.03368236160277,0,1,1110.3702,85.03368236160277,0,0
1,5626.4146,473.11570179367067,12,1,5626.4146,473.11570179367067,0,0
1,10569.502,1577.0497976612364,17,1,10569.502,1577.0497976612364,10,0
1,7560.239,1307.8883503638683,8,1,7560.239,1307.8883503638683,4,0
1,8712.398,825.3831296013425,13,1,8712.398,825.3831296013425,6,0
1,7342.2515,2357.281861373355,15,1,7342.2515,2357.281861373355,1,0
0,-1,-1,22,0,-1,-1,37,0
1,8532.142,1250.5950374041965,8,1,8532.142,1250.5950374041965,4,0
1,5679.937,1347.1559038418363,3,1,5679.937,1347.1559038418363,1,0
1,10205.338,1008.5463301395692,14,1,10205.338,1008.5463301395692,10,0
1,13658.216,1807.2849726014815,17,1,13658.216,1807.2849726014815,14,0
1,12537.99,1038.8625619574962,17,1,12537.99,1038.8625619574962,14,0
1,13967.216,1690.9481021623606,21,1,13967.216,1690.9481021623606,10,0
1,3202.0688,374.90957646315445,1,1,3202.0688,374.90957646315445,0,0
1,9872.277,1206.7181193735942,14,1,9872.277,1206.7181193735942,6,0
1,8203.142,1018.5336553906034,7,1,8203.142,1018.5336553906034,4,0
1,3592.1423,814.479802655935,3,1,3592.1423,814.479802655935,1,0
1,6765.8896,1545.3709682979586,10,1,6765.8896,1545.3709682979586,4,0
1,1974.3002,496.2220839900971,0,1,1974.3002,496.2220839900971,0,0
1,5867.317,622.5676249980926,7,1,5867.317,622.5676249980926,2,0
1,2049.0657,463.0624683666228,0,1,2049.0657,463.0624683666228,0,0
1,8424.424,1180.5428298628883,12,1,8424.424,1180.5428298628883,4,0
1,5813.5845,999.0433249053954,6,1,5813.5845,999.0433249053954,2,0
1,5313.614,533.4189101963045,6,1,5313.614,533.4189101963045,1,0
1,15772.373,1649.426337744714,20,1,15772.373,1649.426337744714,16,0
1,6494.763,1546.489213680267,14,1,6494.763,1546.489213680267,3,0
1,8183.235,832.279136735099,16,1,8183.235,832.279136735099,4,0
1,7581.489,1716.159727272033,10,1,7581.489,1716.159727272033,5,0
1,6172.822,543.8053212797984,9,1,6172.822,543.8053212797984,2,0
1,13379.615,2127.0343585820865,16,1,13379.615,2127.0343585820865,12,0
1,7992.947,659.346042039871,3,1,7992.947,659.346042039871,0,0
1,6064.706,2008.0643521842958,14,1,6064.706,2008.0643521842958,1,0
1,12373.058,1389.6867143501559,20,1,12373.058,1389.6867143501559,10,0
1,10721.606,1289.9447966630116,11,1,10721.606,1289.9447966630116,4,0
1,6436.8975,750.1233751806529,15,1,6436.8975,750.1233751806529,4,0
1,8942.962,1269.3905055291314,15,1,8942.962,1269.3905055291314,8,0
1,4109.9155,682.5467758722309,5,1,4109.9155,682.5467758722309,0,0
1,3902.5303,346.38241932964314,3,1,3902.5303,346.38241932964314,1,0
1,1806.5938,234.5386305656433,0,1,1806.5938,234.5386305656433,0,0
1,8026.34,949.4771108273093,6,1,8026.34,949.4771108273093,2,0
1,4308.7085,560.900743543625,5,1,4308.7085,560.900743543625,0,0
1,6482.2266,793.8798768005373,13,1,6482.2266,793.8798768005373,3,0
1,1906.86,249.0612682285309,1,1,1906.86,249.0612682285309,0,0
0,-1,-1,17,0,-1,-1,35,0
1,9800.9375,1463.8341669440954,7,1,9800.9375,1463.8341669440954,1,0
1,7754.744,966.1706124454229,11,1,7754.744,966.1706124454229,4,0
1,9216.671,958.3883755592614,20,1,9216.671,958.3883755592614,6,0
1,11149.051,1770.4470556163787,17,1,11149.051,1770.4470556163787,15,0
1,8755.245,1503.9489650477522,16,1,8755.245,1503.9489650477522,7,0
1,7932.6196,1405.4979466552743,22,1,7932.6196,1405.4979466552743,9,0
1,3102.2683,295.24428100776674,3,1,3102.2683,295.24428100776674,0,0
1,6629.331,1005.6182431815009,5,1,6629.331,1005.6182431815009,1,0
1,4112.233,530.941937590599,8,1,4112.233,530.941937590599,2,0
1,3167.3389,405.64453237479074,1,1,3167.3389,405.64453237479074,0,0
1,10591.681,1330.9728850154872,20,1,10591.681,1330.9728850154872,9,0
1,2278.4104,261.03714659336646,0,1,2278.4104,261.03714659336646,0,0
1,4456.464,636.8521949697223,1,1,4456.464,636.8521949697223,0,0
1,6748.114,886.8519274568556,13,1,6748.114,886.8519274568556,4,0
