feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,849.1741,92.51855067443847,18,1,849.1741,92.51855067443847,0,1,849.1741,92.51855067443847,0,0
1,1066.6757,404.3800531196594,8,1,1066.6757,404.3800531196594,0,1,1066.6757,404.3800531196594,0,0
1,2142.4182,637.492248973846,10,1,2142.4182,637.492248973846,0,1,2142.4182,637.492248973846,0,0
0,-1,-1,13,0,-1,-1,1,0,-1,-1,1,0
0,-1,-1,8,0,-1,-1,0,0,-1,-1,1,0
1,2340.5713,229.28672090148928,9,1,2340.5713,229.28672090148928,0,1,2340.5713,229.28672090148928,0,0
1,2145.5872,544.1157751922608,8,1,2145.5872,544.1157751922608,1,1,2145.5872,544.1157751922608,0,0
1,1104.9089,358.1445501708984,7,1,1104.9089,358.1445501708984,0,1,1104.9089,358.1445501708984,0,0
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,0
1,566.1672,50.21207343292237,3,1,566.1672,50.21207343292237,0,1,566.1672,50.21207343292237,0,0
1,2112.576,488.28368845438956,5,1,2112.576,488.28368845438956,0,1,2112.576,488.28368845438956,0,0
1,959.263,122.71892639350892,3,1,959.263,122.71892639350892,0,1,959.263,122.71892639350892,0,0
1,930.3037,200.94231023025512,3,1,930.3037,200.94231023025512,0,1,930.3037,200.94231023025512,0,0
1,2253.8887,647.0019722042083,3,1,2253.8887,647.0019722042083,0,1,2253.8887,647.0019722042083,0,0
1,1139.4546,110.79143280315401,7,1,1139.4546,110.79143280315401,0,1,1139.4546,110.79143280315401,0,0
1,1552.0889,452.0618148422241,2,1,1552.0889,452.0618148422241,0,1,1552.0889,452.0618148422241,0,0
1,703.0134,149.74382884025573,2,1,703.0134,149.74382884025573,0,1,703.0134,149.74382884025573,0,0
1,1565.2792,421.0866179122925,3,1,1565.2792,421.0866179122925,0,1,1565.2792,421.0866179122925,0,0
0,-1,-1,2,0,-1,-1,0,0,-1,-1,1,0
1,319.47705,30.091237947463988,2,1,319.47705,30.091237947463988,0,1,319.47705,30.091237947463988,0,0
0,-1,-1,2,0,-1,-1,1,0,-1,-1,1,0
1,786.8718,68.48150196361541,4,1,786.8718,68.48150196361541,0,1,786.8718,68.48150196361541,0,0
1,1854.2836,175.04595702266695,2,1,1854.2836,175.04595702266695,0,1,1854.2836,175.04595702266695,0,0
1,955.96375,84.1791011323929,4,1,955.96375,84.1791011323929,0,1,955.96375,84.1791011323929,0,0
1,682.317,188.456761882782,3,1,682.317,188.456761882782,0,1,682.317,188.456761882782,0,0
0,-1,-1,3,0,-1,-1,0,0,-1,-1,0,0
1,2199.8152,348.2932693347932,2,1,2199.8152,348.2932693347932,0,1,2199.8152,348.2932693347932,0,0
1,1493.4777,239.8032997112274,2,1,1493.4777,239.8032997112274,0,1,1493.4777,239.8032997112274,0,0
0,-1,-1,4,0,-1,-1,0,0,-1,-1,1,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,1117.4307,257.1475806605816,36,1,1117.4307,257.1475806605816,0,1,1117.4307,257.1475806605816,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,1121.7732,186.04033480453492,14,1,1121.7732,186.04033480453492,0,1,1121.7732,186.04033480453492,0,3
1,1674.363,398.49257148742686,5,1,1674.363,398.49257148742686,0,1,1674.363,398.49257148742686,0,3
1,1212.0615,281.3252454872131,7,1,1212.0615,281.3252454872131,0,1,1212.0615,281.3252454872131,0,3
1,1406.4362,358.6197318534851,5,1,1406.4362,358.6197318534851,0,1,1406.4362,358.6197318534851,0,3
1,1346.2871,186.12805641174313,6,1,1346.2871,186.12805641174313,0,1,1346.2871,186.12805641174313,0,3
1,1980.2758,412.4045793628692,6,1,1980.2758,412.4045793628692,0,1,1980.2758,412.4045793628692,0,3
1,325.5746,26.16363670349121,8,1,325.5746,26.16363670349121,0,1,325.5746,26.16363670349121,0,3
1,1314.5455,358.1246669998169,5,1,1314.5455,358.1246669998169,0,1,1314.5455,358.1246669998169,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,221.17361,19.320112392425532,9,1,221.17361,19.320112392425532,0,1,221.17361,19.320112392425532,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,5,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,3,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,1151.7317,271.1017655639648,5,1,1151.7317,271.1017655639648,0,1,1151.7317,271.1017655639648,0,3
1,306.84354,26.985344959259034,4,1,306.84354,26.985344959259034,0,1,306.84354,26.985344959259034,0,3
1,2583.7925,831.0727338581081,5,1,2583.7925,831.0727338581081,0,1,2583.7925,831.0727338581081,0,3
