map,totalNodes,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
carre,25,1,31485.0,2266.92,130563,1,31485.0,2266.92,38428,1,31485.0,2266.92,15066,0,1,1
carre,25,1,22264.0,1603.008,623868,1,22264.0,1603.008,83910,1,22264.0,1603.008,34786,0,1,1
carre,25,1,53747.24,3869.80115625,451282,1,53747.24,3869.80115625,156267,1,53747.24,3869.80115625,55945,0,2,1
carre,25,1,31485.0,2266.92,453999,1,31485.0,2266.92,195939,1,31485.0,2266.92,52661,0,1,1
carre,25,1,85235.0,6136.92,364713,1,85235.0,6136.92,209708,1,85235.0,6136.92,92169,0,3,1
carre,25,1,89048.836,6411.516328125001,546469,1,89048.836,6411.516328125001,167187,1,89048.836,6411.516328125001,68333,0,4,1
carre,25,1,31485.0,2266.92,278372,1,31485.0,2266.92,84114,1,31485.0,2266.92,31525,0,1,1
carre,25,1,94457.0,6800.904,236717,1,94457.0,6800.904,138108,1,94457.0,6800.904,48191,0,3,1
map,totalNodes,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
carre,25,1,76007.19,5472.5175,2724574,1,76007.19,5472.5175,395795,1,76007.19,5472.5175,324499,3,3,1
carre,25,1,116717.16,8403.63525,1014513,1,116717.16,8403.63525,194055,1,116717.16,8403.63525,213009,3,4,1
carre,25,1,98277.0,7075.944,430799,1,98277.0,7075.9439999999995,133963,1,98277.0,7075.9439999999995,149513,3,4,0
carre,25,1,53749.0,3869.928,838128,1,53749.0,3869.928,104240,1,53749.0,3869.928,103181,3,2,1
carre,25,1,62972.0,4533.984,648240,1,62972.0,4533.984,102384,1,62972.0,4533.984,136884,3,2,1
carre,25,1,53750.0,3870.0,215261,1,53750.0,3870.0,44011,1,53750.0,3870.0,60611,3,2,1
carre,25,1,44528.0,3206.016,263840,1,44528.0,3206.016,41848,1,44528.0,3206.016,45416,3,2,1
carre,25,1,44528.0,3206.016,275704,1,44528.0,3206.016,56315,1,44528.0,3206.016,46856,3,2,1
carre,25,1,53749.0,3869.928,436052,1,53749.0,3869.928,50176,1,53749.0,3869.928,55883,3,2,1
carre,25,1,22264.0,1603.008,293616,1,22264.0,1603.008,21177,1,22264.0,1603.008,16006,3,1,1
carre,25,1,76007.195,5472.517921875,456247,1,76007.195,5472.517921875,87350,1,76007.195,5472.517921875,102057,3,3,1
carre,25,1,76007.305,5472.5259375000005,451400,1,76007.305,5472.5259375000005,86725,1,76007.305,5472.5259375000005,181131,3,3,1
carre,25,1,85234.0,6136.848,690470,1,85234.0,6136.848,330888,1,85234.0,6136.848,167357,3,3,1
carre,25,1,53750.0,3870.0,262770,1,53750.0,3870.0,43636,1,53750.0,3870.0,49745,3,2,1
carre,25,1,76014.0,5473.008,297173,1,76014.0,5473.008,55551,1,76014.0,5473.008,62979,3,3,1
carre,25,1,22264.0,1603.008,575401,1,22264.0,1603.008,28205,1,22264.0,1603.008,20694,3,1,1
carre,25,1,22264.0,1603.008,783487,1,22264.0,1603.008,106095,1,22264.0,1603.008,30895,3,1,1
carre,25,1,53750.0,3870.0,394336,1,53750.0,3870.0,195687,1,53750.0,3870.0,213777,3,2,1
carre,25,1,66792.0,4809.024,532362,1,66792.0,4809.024,90162,1,66792.0,4809.024,92238,3,3,1
carre,25,1,22264.0,1603.008,453637,1,22264.0,1603.008,29176,1,22264.0,1603.008,19577,3,1,1
