map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,1,1298.2941,430.05898007583613,2226172,1,1298.2941,430.05898007583613,424024,1,1298.2941,430.05898007583613,343445,0,1
insa,1,496.30096,69.4701044883728,2430093,1,496.30096,69.4701044883728,90240,1,496.30096,69.4701044883728,65256,0,1
insa,1,951.997,256.1646620750427,2094114,1,951.997,256.1646620750427,143969,1,951.997,256.1646620750427,89331,0,1
insa,1,1244.9017,298.78763844966886,1862098,1,1244.9017,298.78763844966886,219816,1,1244.9017,298.78763844966886,184616,0,1
insa,0,-1,-1,268683,0,-1,-1,6473,0,-1,-1,15422,0,1
insa,1,1256.5773,165.36794789886474,3972619,1,1256.5773,165.36794789886474,70841,1,1256.5773,165.36794789886474,69638,0,1
insa,1,295.6469,35.477632455825805,1951834,1,295.6469,35.477632455825805,12745,1,295.6469,35.477632455825805,15068,0,1
insa,0,-1,-1,158888,0,-1,-1,2133,0,-1,-1,2571,0,1
insa,1,2388.8394,505.8441767749786,2787321,1,2388.8394,505.8441767749786,402227,1,2388.8394,505.8441767749786,337930,0,1
insa,0,-1,-1,192347,0,-1,-1,5229,0,-1,-1,5782,0,1
insa,0,-1,-1,114135,0,-1,-1,1992,0,-1,-1,2144,0,1
insa,0,-1,-1,135630,0,-1,-1,3024,0,-1,-1,3313,0,1
insa,1,852.88965,270.33850595855705,2528317,1,852.88965,270.33850595855705,220897,1,852.88965,270.33850595855705,169564,0,1
map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,1,625.4085,75.04901407241822,13041664,1,625.4085,75.04901407241822,109371,1,625.4085,75.04901407241822,234678,3,1
insa,1,1037.0415,278.8817189598083,6625947,1,1037.0415,278.8817189598083,136554,1,1037.0415,278.8817189598083,311478,3,1
insa,0,-1,-1,6121569,0,-1,-1,441383,0,-1,-1,953872,3,1
insa,0,-1,-1,6362915,0,-1,-1,788236,0,-1,-1,2020563,3,1
insa,0,-1,-1,6134877,0,-1,-1,376352,0,-1,-1,1165744,3,1
insa,0,-1,-1,498638,0,-1,-1,6230,0,-1,-1,8025,3,1
insa,1,1382.2664,151.71322053909302,10653597,1,1382.2664,151.71322053909302,241258,1,1382.2664,151.71322053909302,454152,3,1
insa,0,-1,-1,8020815,0,-1,-1,453323,0,-1,-1,778589,3,1
insa,1,2736.1875,423.4978507003785,4608970,1,2736.1875,423.4978507003785,327766,1,2736.1875,423.4978507003785,713670,3,1
insa,0,-1,-1,5733389,0,-1,-1,365414,0,-1,-1,751714,3,1
insa,1,1661.8746,162.59609892654422,6059108,1,1661.8746,162.59609892654422,262861,1,1661.8746,162.59609892654422,512372,3,1
insa,0,-1,-1,2034384,0,-1,-1,378928,0,-1,-1,745147,3,1
insa,1,3442.1228,758.2250897033215,4664987,1,3442.1228,758.2250897033215,361733,1,3442.1228,758.2250897033215,652288,3,1
insa,1,707.9436,202.3205316867828,3415267,1,707.9436,202.3205316867828,38415,1,707.9436,202.3205316867828,71764,3,1
insa,1,1418.4058,198.70318000030517,2217268,1,1418.4058,198.70318000030517,195374,1,1418.4058,198.70318000030517,409494,3,1
insa,1,1207.7766,144.93318506240846,4302444,1,1207.7766,144.93318506240846,381774,1,1207.7766,144.93318506240846,349850,3,1
insa,1,1938.0844,411.02471858596806,4486120,1,1938.0844,411.02471858596806,351559,1,1938.0844,411.02471858596806,610720,3,1
insa,0,-1,-1,2581972,0,-1,-1,345827,0,-1,-1,750626,3,1
insa,0,-1,-1,2746390,0,-1,-1,343510,0,-1,-1,740999,3,1
insa,1,789.38025,80.01818964385986,3313335,1,789.38025,80.01818964385986,127837,1,789.38025,80.01818964385986,259356,3,1
