map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
toulouse,1,2716.086,832.8215527439119,558079005,1,2716.086,832.8215527439119,1807141,1,2716.086,832.8215527439119,3518900,3,1
toulouse,0,-1,-1,4363599,0,-1,-1,9112,0,-1,-1,9428,3,1
toulouse,0,-1,-1,659096183,0,-1,-1,11398324,0,-1,-1,23735690,3,1
toulouse,1,3434.954,330.1067794389724,458646438,1,3434.954,330.1067794389724,2378577,1,3434.954,330.1067794389724,4726692,3,1
toulouse,1,5562.901,750.8700661611557,564899762,1,5562.901,750.8700661611557,6064239,1,5562.901,750.8700661611557,11892437,3,1
