map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
hg,1,117726.58,8630.433398107049,70034132,1,117732.72,8643.907091033727,119933872,3,0
hg,1,44437.023,2760.820247264316,60660495,1,44437.023,2760.820247264316,105191070,3,1
hg,1,62506.08,4242.034769496917,14359989,1,62506.08,4242.034769496917,20892021,3,1
hg,0,-1,-1,76023821,0,-1,-1,129632096,3,1
hg,1,25139.576,1804.304054117203,58115611,1,25139.576,1804.304054117203,88595338,3,1
hg,1,131379.86,8039.08349277646,67708208,1,131380.73,7948.7870648666085,125193990,3,0
hg,1,28111.934,2792.1450948235674,32005597,1,28111.934,2792.1450948235674,54449746,3,1
hg,0,-1,-1,70085921,0,-1,-1,127654909,3,1
hg,1,34769.742,2864.211727378303,20785029,1,34769.742,2864.211727378303,38714897,3,1
hg,1,25811.752,2409.3843531169896,8773640,1,25811.752,2409.3843531169896,16092703,3,1
hg,1,6266.819,514.7309788194384,11353091,1,6266.819,514.7309788194384,21519993,3,1
hg,1,17785.086,1664.0875888914372,30610228,1,17785.086,1664.0875888914372,51328984,3,1
hg,1,22393.67,2051.88323312514,17779493,1,22393.67,2051.88323312514,28954477,3,1
hg,1,98148.68,7708.301302268364,69033772,1,98176.1,7610.60211379943,119253648,3,0
hg,1,40408.75,3090.8996191428023,55409391,1,40408.75,3090.8996191428023,96156075,3,1
hg,1,7878.557,729.7755261080606,12729171,1,7878.557,729.7755261080606,23790005,3,1
hg,1,76141.29,5540.886500498772,65586219,1,76142.94,5533.794487212182,106992420,3,0
hg,1,64293.133,4416.2894421766805,41558503,1,64293.133,4416.2894421766805,70116325,3,1
hg,1,16415.602,1276.34312239756,22924548,1,16415.602,1276.34312239756,37837264,3,1
hg,1,15870.087,1001.9264294866833,31019641,1,15870.087,1001.9264294866833,51510575,3,1
hg,1,82220.12,5579.741031760074,21271865,1,82220.12,5579.741031760074,40418740,3,1
hg,1,91709.95,7104.522320940694,68054494,1,91728.1,7064.626161051473,130005492,3,0
hg,1,25948.09,4419.099461645945,45210379,1,25948.09,4419.099461645945,76588842,3,1
hg,1,137558.03,9979.303049415099,74319735,1,137657.95,9928.77247902903,123413200,3,0
hg,1,14659.356,1321.3448489287243,1003987,1,14659.356,1321.3448489287243,1636614,3,1
hg,1,12281.315,1204.7970983239584,31920533,1,12281.315,1204.7970983239584,53727832,3,1
hg,1,43082.273,4417.463852493151,56696557,1,43100.402,4113.809600265365,91864342,3,0
hg,1,35191.73,2991.4141869668965,54003988,1,35191.73,2991.4141869668965,89824089,3,1
hg,0,-1,-1,75687,0,-1,-1,41630,3,1
hg,1,53942.77,3448.8850223208856,66344879,1,53942.77,3448.8850223208856,110693321,3,1
hg,1,44905.137,2954.217744399273,43006895,1,44905.137,2954.217744399273,71529734,3,1
hg,1,19313.986,1220.0254183837346,10198404,1,19313.986,1220.0254183837346,19220055,3,1
hg,0,-1,-1,25785,0,-1,-1,19018,3,1
hg,1,28096.482,1597.9450852257867,3701585,1,28096.482,1597.9450852257867,10193194,3,1
hg,1,24909.719,1682.3141674864623,40663184,1,24909.719,1682.3141674864623,62206591,3,1
