map,totalNodes,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
toulouse,39858,1,5259.9297,453.745055179596,8436355,1,5259.9297,453.745055179596,2309002,0,93,1
toulouse,39858,1,6573.2256,887.6532159290314,10593969,1,6573.2256,887.6532159290314,4458460,0,115,1
toulouse,39858,1,3438.3027,529.8960110321045,2524247,1,3438.3027,529.8960110321045,515519,0,59,1
toulouse,39858,1,6777.6226,910.8305909835273,11217848,1,6777.6226,910.8305909835273,4801468,0,132,1
toulouse,39858,1,7015.8477,1318.4057729424067,9315612,1,7015.8477,1318.4057729424067,5218376,0,157,1
toulouse,39858,1,5306.503,1004.7432434508463,9884466,1,5306.503,1004.7432434508463,2514667,0,117,1
toulouse,39858,1,4290.7744,389.3579342536925,5304321,1,4290.7744,389.3579342536925,422798,0,94,1
toulouse,39858,1,7091.7617,793.4565622901916,15472896,1,7091.7617,793.4565622901916,2652147,0,207,1
toulouse,39858,1,313.33505,37.60020446777344,21717,1,313.33505,37.60020446777344,15731,0,5,1
toulouse,39858,1,9239.031,1142.5440003762924,12406338,1,9239.031,1142.5440003762924,3677311,0,177,1
toulouse,39858,1,6159.87,585.0835532390049,5314960,1,6159.87,585.0835532390049,4745443,0,90,1
toulouse,39858,0,-1,-1,40014,0,-1,-1,48443,0,0,1
toulouse,39858,1,12474.791,1212.2663195014684,17380488,1,12474.791,1212.2663195014684,8098671,0,280,1
toulouse,39858,1,8838.977,1292.275633942059,15811967,1,8838.977,1292.275633942059,5832942,0,198,1
toulouse,39858,1,10860.821,2079.6799626327243,14044936,1,10860.821,2079.6799626327243,8176536,0,167,1
toulouse,39858,1,3081.4944,820.050451904297,2796420,1,3081.4944,820.050451904297,964593,0,81,1
toulouse,39858,1,8619.565,1040.0865193576813,8504252,1,8619.565,1040.0865193576813,4520765,0,173,1
toulouse,39858,1,3722.9124,917.0401098583773,3546418,1,3722.9124,917.0401098583773,1422770,0,88,1
toulouse,39858,1,8147.3877,1085.2867245422094,13627635,1,8147.3877,1085.2867245422094,5374172,0,192,1
toulouse,39858,1,12429.466,1061.471695190702,15388360,1,12429.466,1061.471695190702,7479097,0,247,1
toulouse,39858,1,4335.276,1062.5374444169997,5021137,1,4335.276,1062.5374444169997,1234157,0,93,1
toulouse,39858,1,13687.919,1835.066986233574,18227680,1,13687.919,1835.066986233574,12479196,0,283,1
toulouse,39858,1,6548.0835,747.2451578918183,8556440,1,6548.0835,747.2451578918183,5635462,0,106,1
toulouse,39858,0,-1,-1,25075,0,-1,-1,27828,0,0,1
toulouse,39858,1,15261.164,1005.8341177389965,16713096,1,15261.164,1005.8341177389965,8878822,0,160,1
toulouse,39858,1,10179.439,1386.4217590227124,16281250,1,10179.439,1386.4217590227124,6870878,0,214,1
toulouse,39858,1,9995.128,763.0320250463483,10691810,1,9995.128,763.0320250463483,6739914,0,169,1
toulouse,39858,1,11527.812,1585.2017001058193,19071875,1,11527.812,1585.2017001058193,18621991,0,146,1
toulouse,39858,1,9819.487,1130.7006559442802,19718829,1,9819.487,1130.7006559442802,10037857,0,193,1
toulouse,39858,0,-1,-1,18815249,0,-1,-1,34609885,0,0,1
toulouse,39858,1,1095.9052,175.43488273021154,417277,1,1095.9052,175.43488273021154,232153,0,41,1
toulouse,39858,1,7416.5654,2034.1061276869093,15302749,1,7416.5654,2034.1061276869093,1751593,0,165,1
toulouse,39858,1,11415.825,1659.377520515442,15242455,1,11415.825,1659.377520515442,7879570,0,93,1
toulouse,39858,1,12379.614,1628.6244287633908,18046363,1,12379.614,1628.6244287633908,10132525,0,319,1
toulouse,39858,1,10480.435,1007.8626127223969,19814945,1,10480.435,1007.8626127223969,6055959,0,217,1
toulouse,39858,1,8221.03,906.7131938236782,18166348,1,8221.03,906.7131938236782,8425669,0,184,1
toulouse,39858,1,6832.6377,695.26968813106,6080315,1,6832.6377,695.26968813106,2146859,0,147,1
toulouse,39858,1,5903.887,1133.5975354900356,6204756,1,5903.887,1133.5975354900356,1192739,0,75,1
toulouse,39858,1,12383.677,707.395530849457,13217735,1,12383.677,707.395530849457,4593893,0,92,1
toulouse,39858,1,12258.305,1835.736176387514,15685297,1,12258.305,1835.736176387514,9911415,0,255,1
toulouse,39858,1,12696.562,1269.600635387421,18089365,1,12696.562,1269.600635387421,10353659,0,240,1
toulouse,39858,1,4395.7715,555.0454409899028,6463781,1,4395.7715,555.0454409899028,1995360,0,95,1
toulouse,39858,1,2478.7725,293.59509917449964,1214455,1,2478.7725,293.59509917449964,179116,0,48,1
toulouse,39858,1,6829.948,941.8582306774689,6258875,1,6829.948,941.8582306774689,2999417,0,163,1
toulouse,39858,0,-1,-1,22643406,0,-1,-1,36536410,0,0,1
toulouse,39858,1,3558.6409,469.71394823169715,5734816,1,3558.6409,469.71394823169715,604769,0,100,1
toulouse,39858,1,5305.0537,685.9930332592554,5689038,1,5305.0537,685.9930332592554,1100609,0,129,1
toulouse,39858,1,4634.257,391.9993480453491,6266632,1,4634.257,391.9993480453491,1137744,0,72,1
toulouse,39858,1,1040.8927,116.7379253025055,223991,1,1040.8927,116.7379253025055,65593,0,17,1
toulouse,39858,1,9227.061,1078.4743375968933,13853213,1,9227.061,1078.4743375968933,6088430,0,200,1
toulouse,39858,1,3933.6194,1092.0337302703858,1211862,1,3933.6194,1092.0337302703858,584393,0,86,1
toulouse,39858,0,-1,-1,20066404,0,-1,-1,33062371,0,0,1
toulouse,39858,1,6371.0474,1267.5411591527118,9634741,1,6371.0474,1267.5411591527118,3418539,0,171,1
toulouse,39858,1,5855.7676,1198.5438449658618,7501956,1,5855.7676,1198.5438449658618,1857968,0,63,1
toulouse,39858,1,5912.923,722.6549806979044,3003345,1,5912.923,722.6549806979044,1977287,0,103,1
toulouse,39858,1,12260.366,1171.8109273766115,14848239,1,12260.366,1171.8109273766115,8909254,0,208,1
toulouse,39858,1,5772.547,818.2466924302237,9272070,1,5772.547,818.2466924302237,2176805,0,124,1
toulouse,39858,1,3134.414,317.8748337135315,1403852,1,3134.414,317.8748337135315,392915,0,57,1
toulouse,39858,1,17320.107,1503.8256829515183,18181188,1,17320.107,1503.8256829515183,13713612,0,368,1
toulouse,39858,0,-1,-1,24192700,0,-1,-1,35921763,0,0,1
toulouse,39858,1,3088.4219,304.45411208438867,1976628,1,3088.4219,304.45411208438867,334675,0,49,1
toulouse,39858,0,-1,-1,15229,0,-1,-1,13936,0,0,1
toulouse,39858,1,6331.786,1121.0641633701323,15530509,1,6331.786,1121.0641633701323,3698336,0,107,1
toulouse,39858,1,6313.7324,699.986861680984,12063762,1,6313.7324,699.986861680984,1997626,0,144,1
toulouse,39858,1,1777.2078,156.9669928539821,330702,1,1777.2078,156.9669928539821,244058,0,38,1
toulouse,39858,1,5104.5483,948.9364301652912,9708710,1,5104.5483,948.9364301652912,2878769,0,94,1
toulouse,39858,1,3269.2363,752.1956200332639,1975807,1,3269.2363,752.1956200332639,629909,0,61,1
toulouse,39858,1,11875.809,1132.3828139662055,13276550,1,11875.809,1132.3828139662055,5772442,0,229,1
toulouse,39858,1,7655.267,1448.2819577762057,6757592,1,7655.267,1448.2819577762057,2522780,0,103,1
toulouse,39858,1,12572.511,1265.4553210830686,9332657,1,12572.511,1265.4553210830686,8696801,0,248,1
toulouse,39858,1,11149.406,1784.0279688025876,18532069,1,11149.406,1784.0279688025876,14339702,0,215,1
toulouse,39858,1,5138.968,763.5835728435518,9023564,1,5138.968,763.5835728435518,3337987,0,99,1
toulouse,39858,1,10940.836,1617.0515944742822,9143750,1,10940.836,1617.0515944742822,8679794,0,191,1
toulouse,39858,1,2924.0876,435.96290775673737,1238507,1,2924.0876,435.96290775673737,758123,0,71,1
toulouse,39858,1,3616.891,373.2657827711106,5985429,1,3616.891,373.2657827711106,789710,0,93,1
toulouse,39858,1,8992.232,819.3204873679242,11875334,1,8992.232,819.3204873679242,3216110,0,127,1
toulouse,39858,1,5449.5127,992.6766479816436,10668140,1,5449.5127,992.6766479816436,1467659,0,137,1
toulouse,39858,1,10956.838,1414.9043861299238,18354736,1,10956.838,1414.9043861299238,7559181,0,219,1
toulouse,39858,1,6239.9443,810.3949173390524,8497874,1,6239.9443,810.3949173390524,2576656,0,123,1
toulouse,39858,1,9695.525,2135.203645227568,11206157,1,9695.525,2135.203645227568,7986092,0,233,1
toulouse,39858,1,8551.54,908.3148777484894,13171696,1,8551.54,908.3148777484894,3971533,0,180,1
toulouse,39858,1,3396.6123,603.6887041955677,2685992,1,3396.6123,603.6887041955677,1242456,0,90,1
toulouse,39858,1,793.8791,180.09189410018922,356197,1,793.8791,180.09189410018922,224894,0,31,1
toulouse,39858,1,9602.704,1183.9797851114276,20795894,1,9602.704,1183.9797851114276,8108680,0,223,1
toulouse,39858,1,9074.6875,896.370277739117,15294294,1,9074.6875,896.370277739117,10476595,0,209,1
toulouse,39858,1,12080.462,2195.288483053209,13108540,1,12080.462,2195.288483053209,9276421,0,107,1
toulouse,39858,1,8752.34,1120.8320086154936,15573984,1,8752.34,1120.8320086154936,2394249,0,161,1
toulouse,39858,1,10214.116,1810.987596278873,14270741,1,10214.116,1810.987596278873,4108330,0,117,1
toulouse,39858,1,10425.882,575.1029202924458,8426802,1,10425.882,575.1029202924458,1701451,0,101,1
toulouse,39858,1,5501.7407,701.7259340400693,4081360,1,5501.7407,701.7259340400693,1840592,0,80,1
toulouse,39858,1,10566.085,1304.742622535978,12195769,1,10566.085,1304.742622535978,6835375,0,179,1
toulouse,39858,1,6574.611,688.1601740594589,6121880,1,6574.611,688.1601740594589,2193503,0,149,1
toulouse,39858,1,14621.534,1344.4430513801576,18431270,1,14621.534,1344.4430513801576,13721298,0,326,1
toulouse,39858,1,2223.299,287.57901284408575,412860,1,2223.299,287.57901284408575,98946,0,33,1
toulouse,39858,1,6550.1055,839.1051691846837,3921430,1,6550.1055,839.1051691846837,2953171,0,147,1
toulouse,39858,1,7543.2446,1252.7188870378218,18084847,1,7543.2446,1252.7188870378218,4088269,0,169,1
