map,totalNodes,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
insa,1349,0,-1,-1,958808,0,-1,-1,2474,0,-1,-1,6140,3,0,1
insa,1349,1,711.3144,79.43346815872192,15599287,1,711.3144,79.43346815872192,246653,1,711.3144,79.43346815872192,434890,3,21,1
insa,1349,0,-1,-1,14029353,0,-1,-1,341970,0,-1,-1,940087,3,0,1
insa,1349,0,-1,-1,19395884,0,-1,-1,339560,0,-1,-1,1107069,3,0,1
insa,1349,0,-1,-1,22038784,0,-1,-1,527126,0,-1,-1,908821,3,0,1
insa,1349,0,-1,-1,26185380,0,-1,-1,1620619,0,-1,-1,1094843,3,0,1
insa,1349,1,1197.3513,226.22790295028693,13293757,1,1197.3513,226.22790295028693,248972,1,1197.3513,226.22790295028693,503763,3,23,1
insa,1349,1,1321.7961,360.04987255096444,3642831,1,1321.7961,360.04987255096444,142205,1,1321.7961,360.04987255096444,264490,3,22,1
insa,1349,1,1662.7491,158.74133292961122,3082564,1,1662.7491,158.74133292961122,239281,1,1662.7491,158.74133292961122,527476,3,41,1
insa,1349,0,-1,-1,591588,0,-1,-1,6318,0,-1,-1,3838,3,0,1
insa,1349,1,1898.0,526.0683076744081,3156503,1,1898.0,526.0683076744081,167022,1,1898.0,526.0683076744081,323273,3,39,1
insa,1349,1,1498.9832,258.6125385818481,2918366,1,1498.9832,258.6125385818481,333638,1,1498.9832,258.6125385818481,778173,3,29,1
insa,1349,1,1064.7244,267.4589209842682,4352321,1,1064.7244,267.4589209842682,129899,1,1064.7244,267.4589209842682,149882,3,21,1
insa,1349,1,3341.212,471.66265234065065,3662164,1,3341.212,471.66265234065065,380141,1,3341.212,471.66265234065065,741373,3,67,1
insa,1349,0,-1,-1,3245282,0,-1,-1,348145,0,-1,-1,873045,3,0,1
insa,1349,1,2533.6228,625.730136777878,7454234,1,2533.6228,625.730136777878,570397,1,2533.6228,625.730136777878,1071112,3,44,1
insa,1349,0,-1,-1,1123055,0,-1,-1,5498,0,-1,-1,3837,3,0,1
insa,1349,0,-1,-1,491738,0,-1,-1,3476,0,-1,-1,2970,3,0,1
insa,1349,1,605.4134,56.62602244663238,2740369,1,605.4134,56.62602244663238,51824,1,605.4134,56.62602244663238,102527,3,12,1
insa,1349,0,-1,-1,2923281,0,-1,-1,491807,0,-1,-1,1347691,3,0,1
