map,totalNodes,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
insa,1349,0,-1,-1,3970710,0,-1,-1,400855,0,-1,-1,821191,0,0,1
insa,1349,0,-1,-1,606839,0,-1,-1,4267,0,-1,-1,2981,0,0,1
insa,1349,1,1668.0265,541.552565574646,2296180,1,1668.0265,541.552565574646,342873,1,1668.0265,541.552565574646,94401,0,14,1
insa,1349,1,538.3253,79.70823646545409,2168027,1,538.3253,79.70823646545409,77671,1,538.3253,79.70823646545409,58817,0,18,1
insa,1349,1,357.42892,197.32819765090943,2916111,1,357.42892,197.32819765090943,37877,1,357.42892,197.32819765090943,24858,0,12,1
insa,1349,1,1968.2216,241.87703861618044,4039782,1,1968.2216,241.87703861618044,306052,1,1968.2216,241.87703861618044,274317,0,46,1
insa,1349,1,2672.5422,620.3287976646424,2294500,1,2672.5422,620.3287976646424,474764,1,2672.5422,620.3287976646424,245068,0,36,1
insa,1349,1,1302.1638,396.50090961456306,2586038,1,1302.1638,396.50090961456306,157584,1,1302.1638,396.50090961456306,102382,0,29,1
insa,1349,1,1983.983,685.9776492691041,2226399,1,1983.983,685.9776492691041,312377,1,1983.983,685.9776492691041,247356,0,36,1
insa,1349,1,1067.3933,146.60286024856566,3745134,1,1067.3933,146.60286024856566,282638,1,1067.3933,146.60286024856566,125775,0,35,1
insa,1349,1,2149.9304,246.7130617790222,2776276,1,2149.9304,246.7130617790222,351733,1,2149.9304,246.7130617790222,342559,0,43,1
insa,1349,1,700.4738,175.4301175804138,2507977,1,700.4738,175.4301175804138,138874,1,700.4738,175.4301175804138,88507,0,24,1
insa,1349,1,762.0977,198.5883092880249,2182587,1,762.0977,198.5883092880249,117912,1,762.0977,198.5883092880249,89331,0,25,1
insa,1349,1,106.20859,61.35435247421264,2548742,1,106.20859,61.35435247421264,22552,1,106.20859,61.35435247421264,10699,0,5,1
insa,1349,0,-1,-1,4467327,0,-1,-1,406492,0,-1,-1,843900,0,0,1
insa,1349,0,-1,-1,611940,0,-1,-1,2967,0,-1,-1,2277,0,0,1
insa,1349,1,420.90024,97.94897341918946,2082026,1,420.90024,97.94897341918946,56258,1,420.90024,97.94897341918946,38331,0,8,1
insa,1349,0,-1,-1,464292,0,-1,-1,2570,0,-1,-1,2314,0,0,1
